	Entity Name	Alternative Name	Tag	Reference
2112	Monasteries of Idolaters (Buddhists)			Yule
2113	Money			Yule
2114	Money of the great khan			Murray
2115	Mongol Emperors		Person	Murray
2116	Mongol conquests			Yule
2117	Mongols		Organization	Murray
2118	Mongon Khan			Yule
2119	Mongotay	Mangkutai		Yule
2120	Monkeys			Yule
2121	Monks			Yule
2122	Monnier			Yule
2123	Monoceros and Maiden			Yule
2124	Monophysitism			Yule
2125	Monsoons			Yule
2126	Monte d’Ely			Yule
2127	Montecorvino			Yule
2128	Montgomerie			Yule
2129	Monument at Si-ngan fu			Yule
2130	Moon			Yule
2131	Moore			Yule
2132	Moplas			Yule
2133	Morgan			Yule
2134	Mortagne			Yule
2135	Moscow			Yule
2136	Mosolin			Yule
2137	Mossos			Yule
2138	Mosta’sim Billah			Yule
2139	Mosul		Location	Murray
2140	Mosul 	Mausul		Yule
2141	Motapallé			Yule
2142	Motawakkil			Yule
2143	Moule			Yule
2144	Mount			Yule
2145	Mountain			Yule
2146	Mourning customs			Yule
2147	Mozambique Channel			Yule
2148	Muang			Yule
2149	Mulberry Trees			Yule
2150	Multan			Yule
2151	Muláhidah	Mulehet		Yule
2152	Mul–Java			Yule
2153	Mungasht			Yule
2154	Mungul			Yule
2155	Mungul–Temur and Mongo–Temur			Yule
2156	Murad Beg			Yule
2157	Murghab River			Yule
2158	Murray			Yule
2159	Murus Ussu 			Yule
2160	Mus			Yule
2161	Musa’úd			Yule
2162	Musk			Murray,Yule
2163	Muslin			Yule
2164	Mutfili 			Yule
2165	Muza			Yule
2166	Mynibar			Yule
2167	Mysore			Yule
2168	Mystic number			Yule
2169	Máchin			Yule
2170	Mádái			Yule
2171	Mán			Yule
2172	Mâramangalam			Yule
2173	Mätzner			Yule
2174	Mírat			Yule
2175	Müller			Yule
2176	Nac			Yule
2177	Nakkára	Naccara		Yule
2178	Nakkára 			Yule
2179	Nalanda			Yule
2180	Nan-ghin 	Nan-King	Location	Murray
2181	Nancouri			Yule
2182	Nanghin	Ngan-king		Yule
2183	Nangiass			Yule
2184	Nankau			Yule
2185	Nanking			Yule
2186	Nanwuli			Yule
2187	Nan–Chao			Yule
2188	Naobanján			Yule
2189	Naoshirwan			Yule
2190	Naphtha in the Caucasian country			Yule
2191	Napier			Yule
2192	Napoleon III			Yule
2193	Narikela–Dvipa			Yule
2194	Narin–Kaleh			Yule
2195	Narkandam			Yule
2196	Narsinga			Yule
2197	Narwhal tusk			Yule
2198	Nasich			Yule
2199	Nasruddin	Nescradin		Yule
2200	Nassir-uddin			Yule
2201	Natigay			Yule
2202	Navapa 			Yule
2203	Nava–Khanda			Yule
2204	Naversa			Yule
2205	Nayan		Person	Murray,Yule
2206	Nebila and Mangla islands			Yule
2207	Nebuchadnezzar			Yule
2208	Necklaces			Yule
2209	Necuveran	Nicobar		Murray,Yule
2210	Negapatam			Yule
2211	Negroes described			Yule
2212	Negropont			Yule
2213	Nellore			Yule
2214	Nemej			Yule
2215	Nerghi			Yule
2216	Nescardin		Person	Murray
2217	Nescradin			Yule
2218	Nestorian Christians			Yule
2219	Nestorian Christians and Jacobites			Murray
2220	Nestorius			Yule
2221	Nevergún Pass			Yule
2222	New Year Festival at Kúblái’s Court			Yule
2223	Neza Tash Pass			Yule
2224	Ngan-king	Nanghin		Yule
2225	Ngan-ning-ho 			Yule
2226	Ngantung			Yule
2227	Ngo-ning			Yule
2228	Nia (ancient Ni-jang			Yule
2229	Nias Island			Yule
2230	Nibong Palm			Yule
2231	Nicaea of Alexander			Yule
2232	Nicholson			Yule
2233	Nicobar	Necuveran		Yule
2234	Nicolas			Yule
2235	Nicolas IV			Yule
2236	Nicolas of Pistoia			Yule
2237	Nieuhoff			Yule
2238	Nigudar	Nogodar		Yule
2239	Nigudarian bands			Yule
2240	Nilawár	Nellore		Yule
2241	Nile			Yule
2242	Nileshwaram			Yule
2243	Nine			Yule
2244	Nine Provinces 			Yule
2245	Ning-hsia			Yule
2246	Ning-yuan fu			Yule
2247	Ningpo			Yule
2248	Niriz			Yule
2249	Nirvana			Yule
2250	Nishapúr			Yule
2251	Niuché	Yuché		Yule
2252	Noah’s Ark in Armenia			Yule
2253	Nobles of Venice			Yule
2254	Nochdarizari			Yule
2255	Nogai Khan			Yule
2256	Nogodar		Person	Murray,Yule
2257	Nomad tribes of Persia			Yule
2258	Nomogan	Numughan		Yule
2259	None			Yule
2260	North			Yule
2261	North Star			Yule
2262	Note Book			Yule
2263	Novgorod			Yule
2264	Nubia			Yule
2265	Nukdaris			Yule
2266	Nuksán Pass			Yule
2267	Numbers			Yule
2268	Nusi–Ibrahim			Yule
2269	Nutmegs			Yule
2270	Nyuché			Yule
2271	Oak of Hebron			Yule
2272	Oaracta	Kishm		Yule
2273	Obedience of Ismaelites			Yule
2274	Obi 			Yule
2275	Observatory at Peking			Yule
2276	Ocean Sea			Yule
2277	Ocoloro Island			Yule
2278	Odoric			Yule
2279	Oger			Yule
2280	Ogotai Khan			Yule
2281	Oil from the Holy Sepulchre			Yule
2282	Oirad			Yule
2283	Okkodai Khan			Yule
2284	Okkoday Khan		Person	Murray
2285	Olak			Yule
2286	Old Man of the Mountain		Person	Murray
2287	Old Man of the Mountain (Aloadin			Yule
2288	Oljaïtu Khan			Yule
2289	Oman			Yule
2290	Omens			Yule
2291	Onan Kerule			Yule
2292	Ondanique			Yule
2293	Oppert			Yule
2294	Orang Gugu			Yule
2295	Orang Malayu			Yule
2296	Orang Malayu 			Yule
2297	Orbelian			Yule
2298	Ordos			Yule
2299	Organa (Jerún			Yule
2300	Oriental phrases in Polo’s dictation			Yule
2301	Orissa			Yule
2302	Orkhon River			Yule
2303	Orleans			Yule
2304	Oroech			Yule
2305	Ostriches			Yule
2306	Ostyaks			Yule
2307	Otto			Yule
2308	Ouang Khan		Person	Murray
2309	Oulatay	Uladai		Yule
2310	Oulatay 			Yule
2311	Owen			Yule
2312	Oxen			Yule
2313	Oxenham			Yule
2314	Oxus Valley and River			Yule
2315	Oxus river		Location	Murray
2316	Oxydracae			Yule
2317	Pa-yi writing			Yule
2318	Pacamuria 	Baccanor		Yule
2319	Pacauta			Yule
2320	Pacem			Yule
2321	Paddle-wheel barges			Yule
2322	Paderin			Yule
2323	Padma Sambhava			Yule
2324	Pagaroyang			Yule
2325	Paggi Islands			Yule
2326	Pagodas			Yule
2327	Pagán			Yule
2328	Pahang			Yule
2329	Pai-yen-ching			Yule
2330	Paipurth	Baiburt		Yule
2331	Pakwiha			Yule
2332	Palace of Khan at Chagannor			Yule
2333	Palembang			Yule
2334	Palladius			Yule
2335	Palm			Yule
2336	Palm Wine			Yule
2337	Pamier	Pamir		Yule
2338	Pamier 	Pamir		Murray
2339	Pandarani			Yule
2340	Pandit Manphul			Yule
2341	Pandrethan in Kashmir			Yule
2342	Pandyan kings			Yule
2343	Panja River			Yule
2344	Panjkora			Yule
2345	Panjshir			Yule
2346	Panjáb			Yule
2347	Pantaleon			Yule
2348	Panthé			Yule
2349	Panya 	Pengya		Yule
2350	Pan–Asiatic usages			Yule
2351	Pao-ki h’ien			Yule
2352	Paonano Pao			Yule
2353	Paper-money			Yule
2354	Papien 			Yule
2355	Papé			Yule
2356	Paquier			Yule
2357	Paradise			Yule
2358	Paramisura			Yule
2359	Paravas			Yule
2360	Parez			Yule
2361	Pariahs 	Paraiyar		Yule
2362	Parker			Yule
2363	Parliament			Yule
2364	Parlák			Yule
2365	Parpa iron mines			Yule
2366	Parris		Person	Murray
2367	Parrot			Yule
2368	Parrots			Yule
2369	Partridges			Yule
2370	Parwana			Yule
2371	Paryán silver mines			Yule
2372	Parákráma Bahu I			Yule
2373	Pascal of Vittoria			Yule
2374	Pascia 	Peshawer	Location	Murray
2375	Pasei			Yule
2376	Pasha and Pashagar tribes			Yule
2377	Pashai			Yule
2378	Pasha–Afroz			Yule
2379	Passo 			Yule
2380	Patarins			Yule
2381	Patlam			Yule
2382	Patriarchs of Eastern Christians			Yule
2383	Patteik–Kará			Yule
2384	Patterns			Yule
2385	Patu			Yule
2386	Pau-chym 	Pao-yug-shien	Location	Murray
2387	Paukin	Pao-ying		Yule
2388	Pauthier			Yule
2389	Paved roads in China			Yule
2390	Payan			Yule
2391	Payangadi			Yule
2392	Paï			Yule
2393	Pe-king		Location	Murray
2394	Peaches			Yule
2395	Peacocks at St. Thomas’s			Yule
2396	Pearls			Yule
2397	Pears			Yule
2398	Pedir			Yule
2399	Pedro			Yule
2400	Pegu and Bengal confounded			Yule
2401	Pei-chau	Piju		Yule
2402	Pein	Pim		Yule
2403	Pein 	Bai	Location	Murray
2404	Peking			Yule
2405	Pelly			Yule
2406	Pema-ching			Yule
2407	Pemberton			Yule
2408	Pentam	Bintang		Yule
2409	Pentam 	Bintang	Location	Murray
2410	Pepper			Yule
2411	Pepper Country			Yule
2412	Peregrine falcons			Yule
2413	Perla	Ferlec		Yule
2414	Persia		Location	Murray,Yule
2415	Persia and India			Yule
2416	Persian Gulf 			Yule
2417	Persian applied to language of foreigners at Mongol Court			Yule
2418	Pesháwar			Yule
2419	Peter			Yule
2420	Pharaoh’s rats	Gerboa		Yule
2421	Phayre			Yule
2422	Pheasants			Yule
2423	Pheng	the Rukh		Yule
2424	Philip III. and IV. of France			Yule
2425	Philip the Fair			Yule
2426	Philippine Islands			Yule
2427	Phillips			Yule
2428	Phipps			Yule
2429	Phra Râma			Yule
2430	Phungan			Yule
2431	Physician			Yule
2432	Physicians			Yule
2433	Pi-an-fu	Pin-yang-fou	Location	Murray
2434	Pianfu	P’ing-yang fu		Yule
2435	Pianfu 			Yule
2436	Pichalok			Yule
2437	Pievtsov			Yule
2438	Pig-shells			Yule
2439	Pigeon posts			Yule
2440	Piju	Pei-chau		Yule
2441	Pilgrimage			Yule
2442	Pima	Pim		Yule
2443	Pin-gui 	Pi-tcheou	Location	Murray
2444	Pinati			Yule
2445	Pine woods in Mongolian desert			Yule
2446	Pinna–Cael	Punnei-Káyal		Yule
2447	Pipino		Person	Murray,Yule
2448	Pirabandi or Bir Pandi	Vira Pandi		Yule
2449	Pirada			Yule
2450	Pirates of Malabar			Yule
2451	Piratical customs at Eli			Yule
2452	Pistachioes			Yule
2453	Plane			Yule
2454	Plano Carpini			Yule
2455	Po-sz’	Persia		Yule
2456	Pog			Yule
2457	Poison			Yule
2458	Poison wind			Yule
2459	Poisoning guests			Yule
2460	Poisonous pasturage			Yule
2461	Poland			Yule
2462	Pole			Yule
2463	Pole-star			Yule
2464	Police			Yule
2465	Politeness of Chinese			Yule
2466	Polo		Person	Murray,Yule
2467	Polygamy			Yule
2468	Ponent			Yule
2469	Pong			Yule
2470	Poods			Yule
2471	Pope of Rome		Person	Murray
2472	Popinjays			Yule
2473	Population			Yule
2474	Porcelain manufacture			Yule
2475	Porcupines			Yule
2476	Pork			Yule
2477	Posts			Yule
2478	Potala at L’hasa			Yule
2479	Pottinger			Yule
2480	Poultry			Yule
2481	Pound			Yule
2482	Pozdneiev			Yule
2483	Precious stones or gems			Yule
2484	Prester John		Person	Murray,Yule
2485	Prices of horses			Yule
2486	Printing			Yule
2487	Private names supposed			Yule
2488	Prjevalsky			Yule
2489	Probation of Jogis			Yule
2490	Prophecy regarding Bayan			Yule
2491	Prostitutes			Yule
2492	Provinces			Yule
2493	Pseudo–Callisthenes			Yule
2494	Ptolemies’ trained African elephants			Yule
2495	Ptolemy			Yule
2496	Pu-ch’eng			Yule
2497	Puer and Esmok			Yule
2498	Pukan Mien–Wang			Yule
2499	Pulad Chingsang			Yule
2500	Pulisangan		Location	Murray
2501	Pulisanghin			Yule
2502	Pulo Bras			Yule
2503	Pulo Nankai			Yule
2504	Pulo Wé			Yule
2505	Punnei-Káyal			Yule
2506	Purchas in his Pilgrims uses Ramusio's edition of Marco Polo's Travels			Murray
2507	Puránas			Yule
2508	Putchok			Yule
2509	Putu-ho			Yule
2510	Pygmies			Yule
2511	Pádishah Khátún of Kerman			Yule
2512	P’ing-chang			Yule
2513	P’ing-yang fu	Pianfu		Yule
2514	P’o-yang Lake			Yule
2515	P’u-chau fu			Yule
2516	Qal’ah Asgher			Yule
2517	Qara Ars-lán Beg			Yule
2518	Quails in India			Yule
2519	Que-lin-fu 	Kien-ning-fou	Location	Murray
2520	Queen of Mutfili			Yule
2521	Quen-gian-fu 	Si-ngan-fou	Location	Murray
2522	Quicksilver and sulphur potion			Yule
2523	Quills of the Ruc			Yule
2524	Quilon			Yule
2525	Quin-sai		Location	Murray
2526	Qumadin	Camadi		Yule
2527	Rabbanta			Yule
2528	Rabelais			Yule
2529	Radloff			Yule
