	Entity Name	Alternative Name	Tag	Reference
97	Ambergris		No	Yule
98	Amda Zion		Person	Yule
99	Ament		No	Yule
100	Amhara		No	Yule
101	Amien		Location	Yule
102	Amita Buddha		No	Yule
103	Ammianus Marcellinus		No	Yule
104	Amoy		No	Yule
105	Amu	Bamoo	Location	Murray,Yule
106	Ananda		Person	Yule
107	Anaurahta		Person	Yule
108	Ancestor Worship		No	Yule
109	Anchors		No	Yule
110	Andaman	Angamanain	Location	Yule
111	Andragiri		No	Yule
112	Andreas		Person	Yule
113	Andrew		Person	Yule
114	Angaman Islands	Andaman	Location	Murray
115	Angamanain		Location	Yule
116	Angan		No	Yule
117	Angkor		No	Yule
118	Ani in Armenia		No	Yule
119	Animal Patterns		No	Yule
120	Anin		Location	Yule
121	Annals of the IndoChinese States		No	Yule
122	Anselmo		No	Yule
123	Antioch		No	Yule
124	Antongil Bay		Location	Yule
125	Anár		No	Yule
126	Aotonomoff		Person	Yule
127	Apples of Paradise	Konars	No	Yule
128	Apricots		No	Yule
129	Apushka	Apusca	Person	Yule
130	Arab geography		Location	Yule
131	Arababni		No	Yule
132	Arabi	Arabs	No	Yule
133	Arabia		No	Yule
134	Arabic character		No	Yule
135	Arakan		No	Yule
136	Aram	Harám	Location	Yule
137	Ararat		Location	Murray,Yule
138	Arblasts		No	Yule
139	Arbre Sol		No	Yule
140	Arcali		No	Yule
141	Architectural remains in IndoChina		No	Yule
142	Ardeshír		No	Yule
143	Ardeshír Bábekán		Person	Yule
144	Areca		No	Yule
145	Arezzo		No	Yule
146	Argaeus		No	Yule
147	Argali		No	Yule
148	Arghún		Person	Yule
149	Argiron	Erzeroum	Location	Murray
150	Argon		Person	Murray
151	Argons	Arghún	No	Yule
152	Arii		No	Yule
153	Arikbuga		Person	Yule
154	Arimaspia		No	Yule
155	Arimaspian gold		No	Yule
156	ArioraKeshimur		No	Yule
157	Ariosto		No	Yule
158	Aripo		No	Yule
159	Aristotle		No	Yule
160	Arjish	Arzizi	No	Yule
161	Arkasun Noian		No	Yule
