	Entity	Tag	Reference
632	Cinnamon	Person	Yule
633	Circumcision 	FALSE	Yule
634	Cirophanes	FALSE	Yule
635	Civet of Sumatra	FALSE	Yule
636	Clemenfu (Tai-yuen-fou)	Location	Murray
637	Clement IV	Person	Yule
638	Clement IV.	Person	Murray
639	Clepsydra	FALSE	Yule
640	Cloves	FALSE	Yule
641	Coal	FALSE	Yule
642	Cobi or Shamo	Location	Murray
643	Cobinam (Khubees)	Location	Murray
644	Cobinan (Kohï¿½Banï¿½n)	 	Yule
645	Cocachin (Kukï¿½chin)	 	Yule
646	Cochin-China	FALSE	Yule
647	Coco Islands	FALSE	Yule
648	Coco-nut (Indian nut)	FALSE	Yule
649	Cocos Islands	FALSE	Yule
650	Coeur de Lion	Person	Yule
651	Coffins	FALSE	Yule
652	Cogachin (Hukaji)	Person	Yule
653	Cogatai	Person	Yule
654	Coiganju (Hwaingan-fu)	FALSE	Yule
655	Coilac	Location	Murray
656	Coilon	Location	Murray
657	Coilum (Kaulam, Quilon)	Location	Yule
658	Coilumin	FALSE	Yule
659	Coins 	FALSE	Yule
660	Coja (Koja)	Person	Yule
661	Cold	Location	Yule
662	Coleridge	FALSE	Yule
663	Coloman	FALSE	Yule
664	Colombino	FALSE	Yule
665	Colossal Buddhas	FALSE	Yule
666	Columbum	FALSE	Yule
667	Columbus	FALSE	Yule
668	Comania	FALSE	Yule
669	Comari	Location	Murray,Yule
670	Combermere	Location	Yule
671	Comorin	FALSE	Yule
672	Comoro Islands	Location	Yule
673	Compartments	Location	Yule
674	Compass	FALSE	Yule
675	Competitive Examinations in beauty	FALSE	Yule
676	Conchi	Person	Yule
677	Conci	Person	Murray
678	Concubines	FALSE	Yule
679	Condi-fu (Tsi-nan-fou)	Location	Murray
680	Condor	FALSE	Yule
681	Condur and Sondur	FALSE	Yule
682	Condux	FALSE	Yule
683	Conia	FALSE	Yule
684	Conjeveram	FALSE	Yule
685	Conjurers	Person	Yule
686	Conosalmi (Kamasal)	FALSE	Yule
687	Constantinople	FALSE	Yule
688	Convents	FALSE	Yule
689	Cookery	FALSE	Yule
690	Cooper	Person	Yule
691	Copal	FALSE	Yule
692	Copper	FALSE	Yule
693	Coral	FALSE	Yule
694	Corea (Kauli)	FALSE	Yule
695	Cormos (Ormus)	Location	Murray
696	Corn	FALSE	Yule
697	Coromandel (Maabar)	FALSE	Yule
698	Corsairs	FALSE	Yule
699	Corte del Milione	FALSE	Yule
700	Corvino	Person	Murray
701	Cosmography	FALSE	Yule
702	Costus	FALSE	Yule
703	Cotan	FALSE	Yule
704	Cotan (Khoten)	Location	Murray
705	Cotton	FALSE	Yule
706	Counts in Vokhan	FALSE	Yule
707	Couriers of the great khan		Murray
708	Courts of Justice	FALSE	Yule
709	Cowdung	FALSE	Yule
710	Cowell	FALSE	Yule
711	Cowries (porcelain shells, pig shells)	FALSE	Yule
712	Cralantur	FALSE	Yule
713	Cramoisy (quermesis)	FALSE	Yule
714	Cranes	FALSE	Yule
715	Crawford	FALSE	Yule
716	Creman(Carmania)	Location	Murray
717	Cremation	FALSE	Yule
718	Cremesor	FALSE	Yule
719	Crocodiles	FALSE	Yule
720	Cross	FALSE	Yule
721	Crossbows	FALSE	Yule
722	Cruelties	FALSE	Yule
723	Crusca MS. of Polo	FALSE	Yule
724	Crusca MS. of the Travels	Person	Murray
725	Cubeb pepper	FALSE	Yule
726	Cubits	FALSE	Yule
727	Cublay	Person	Yule
728	Cucintana	FALSE	Yule
729	Cudgel	FALSE	Yule
730	Cuiju (Kweichau)	Location	Yule
731	Cuinet	Location	Yule
732	Cuirbouly	FALSE	Yule
733	Cuju	FALSE	Yule
734	Cun-chin	Location	Murray
735	Cuncun (Han-Chung) 	Location	Yule
736	Cunningham	Person	Yule
737	Cups	FALSE	Yule
738	Curds and Curdistan	FALSE	Yule
739	Curmosa (Hormuz)	FALSE	Yule
740	Currency	Person	Yule
741	Current	FALSE	Yule
742	Currents	FALSE	Yule
743	Curtains	FALSE	Yule
744	Curzola 	Location	Yule
745	Curzon	FALSE	Yule
746	Customs	FALSE	Yule
747	Cutch pirates	FALSE	Yule
748	Cuxstac	FALSE	Yule
749	Cuy Khan 	FALSE	Yule
750	Cuyne(Kuynuk)	Person	Murray
