Entity Name,Alternative Name,Tag,Reference,
Boikoff,,FALSE,Yule,
Bokhara,,Location,Murray,
Bokhara,Bocara,FALSE,Yule,
Bolgana,,Person,Yule,
Bolghar,,Person,Yule,
Bolghar,Bolgara,Location,Yule,
Bolivar,,Person,Yule,
Bolor,,FALSE,Yule,
Bombay,,Location,Yule,
Bonga,,FALSE,Yule,
Boni,,Person,Murray,
Boniface,,FALSE,Yule,
Bonoccio di Mestro,,FALSE,Yule,
Bonus,Ebony,FALSE,Yule,
Boodhism in Central Asia,,,Murray,
Book of Marco Polo,,FALSE,Yule,
Bore in Hangchau Estuary,,FALSE,Yule,
Borgal,,FALSE,Yule,
Borneo,,FALSE,Yule,
BoroBodor,,FALSE,Yule,
Borrak,Barac,Person,Yule,
Bostam,,FALSE,Yule,
Bouqueran,,FALSE,Yule,
Boxwood Forests in Georgia,,FALSE,Yule,
Bozzi,,FALSE,Yule,
Bragadino,,Person,Yule,
Brahmanical Thread,,FALSE,Yule,
Brahmans,Abraiaman,Person,Yule,
Brahuis,,FALSE,Yule,
Brakhimov,,FALSE,Yule,
Brambanan,,FALSE,Yule,
Bran diet,,FALSE,Yule,
Brazil,wood,FALSE,Yule,
Brephung monastery,,FALSE,Yule,
Bretesche,,FALSE,Yule,
Brichu,Brius the Upper Kiang,FALSE,Yule,
Bridges,,FALSE,Yule,
Brine-wells,,FALSE,Yule,
British Museum,,Location,Murray,
Brius ,,Location,Yule,
Brius river,,Location,Murray,
Brown,,Person,Yule,
Bruce's Abyssinian Chronology,,FALSE,Yule,
Brunetto Latini's Book,,FALSE,Yule,
Bucephalus,,FALSE,Yule,
Buckrams,,FALSE,Yule,
Buddha,,Person,Yule,
Buddhism,,FALSE,Yule,
Buddhist ,,FALSE,Yule,
Buffet and vessels of Kaan's table,,FALSE,Yule,
Buka,Boga,Person,Yule,
Bularguchi,,FALSE,Yule,
Bulgaria,,Location,Murray,Yule
Bulughï¿½n ,, ,Yule,
Bundï¿½kdï¿½r,, ,Yule,
Burkan Kaldun,,FALSE,Yule,
Burma ,,Person,Yule,
Burnes,,Person,Murray,
Burning paper imitations of property at funerals,,Person,Yule,
Burning the Dead,,FALSE,Yule,
Buryats or Buraets,,FALSE,Yule,
Butchers,,FALSE,Yule,
Butiflis,Mutfili,FALSE,Yule,
Ca-cian-fu,Ho-kien-fou,Location,Murray,
Ca-cian-fu,Tong-tcheou,Location,Murray,
Caaju,,Location,Yule,
Cacanfu ,Hokiang-fu,FALSE,Yule,
Cachanfu,Pï¿½uchau-fu, ,Yule,
Cachar Modun,,FALSE,Yule,
Cachilpatnam,,FALSE,Yule,
Caesalpinia,,FALSE,Yule,
Caesarea of Cappadocia,Casaria,FALSE,Yule,
Cai-gui,Qua-tcheou,Location,Murray,
Caichu,,Location,Yule,
Caidu,,Person,Yule,
Caiju ,,FALSE,Yule,
Caiju,, Kwachau),FALSE,Yule
Cail ,Kail, ,Yule,
Caindu,,Location,Yule,
Caingan,,FALSE,Yule,
Cairo,,Location,Yule,
Caiton,,FALSE,Yule,
Cala Ataperistan,Gueber's Castle,FALSE,Yule,
Calachan,,FALSE,Yule,
Calacian,,Location,Murray,
Calaiate,,FALSE,Yule,
Calamanz,,FALSE,Yule,
Calamina,,FALSE,Yule,
Calatu,,FALSE,Yule,
Calatu,Kalhat,Location,Murray,
Caldwell,,FALSE,Yule,
Calendar,,Person,Yule,
Cali,Kael,Location,Murray,
Calicut,,Person,Yule,
Calif,,Person,Yule,
Caligine,,FALSE,Yule,
Camabaia,Cambay,Location,Murray,
Camadi ,,Location,Yule,
Camandu,,Location,Murray,
Cambaluc,"Khanbalig,Peking",Location,Yule,
Cambay,"Cambaet,Cambeth",Location,Yule,
Cambuscan of Chaucer,,FALSE,Yule,
Camels,,FALSE,Yule,
Camexu,,FALSE,Yule,
Camlets,cammellotti,FALSE,Yule,
Camoens,,FALSE,Yule,
Camphor,,Person,Yule,
Campichu,Kanchau,Location,Yule,
Camut,,Person,Yule,
Can-giu,Kiang-chan-fui,Location,Murray,
Canal,,FALSE,Yule,
Canale,,FALSE,Yule,
Cananor,,FALSE,Yule,
Cananore,,FALSE,Yule,
Canara,,FALSE,Yule,
Cancamum,,FALSE,Yule,
Candahar,,FALSE,Yule,
Cane,,Canes ,FALSE,Yule
Cannibalism,,FALSE,Yule,
Cannibals,,FALSE,Yule,
Canonical Hours,,FALSE,Yule,
Canpicion,Kan-tcheou,Location,Murray,
Cansay,,FALSE,Yule,
Canton,,FALSE,Yule,
Cape Comorin,,FALSE,Yule,
Cape Corrients ,,FALSE,Yule,
Cappidoglio,,FALSE,Yule,
Caracoron ,Kara-Korum, Location,Yule,
Caraian,,Location,Murray,Yule
Carajan ,,Location,Yule,
Caramoran,Hoang-Ho,Location,Yule,
Caraonas,Karaunahs,FALSE,Yule,
Carats,,FALSE,Yule,
Carbine,,FALSE,Yule,
Cardamom,,FALSE,Yule,
Cardinal's Wit,,FALSE,Yule,
Caribs,,FALSE,Yule,
Carpets,,FALSE,Yule,
Carpini,,Person,Murray,
Carriages,,FALSE,Yule,
Carrion shot from engines,,FALSE,Yule,
Casan,,FALSE,Yule,
Casan,Ghazan,Person,Murray,
Casaria,Caesarea of Cappadocia,FALSE,Yule,
Cascar,Cashgar,Location,Murray,
Cascar,Kashgar,FALSE,Yule,
Casem,,FALSE,Yule,
Casoni,,FALSE,Yule,
Caspian Sea ,"Sea of Ghel, sea of Ghelan",FALSE,Yule,
Cassay,,FALSE,Yule,
Cassia,,FALSE,Yule,
Castaldi,,Person,Yule,
Casvin,Kazwï¿½n, ,Yule,
Cat's Head Tablet,,FALSE,Yule,
Catalan Navy,,FALSE,Yule,
Cathay,"Northern China,Kataia",Location,Yule,
Cathayans,,FALSE,Yule,
Catholicos,,FALSE,Yule,
Cators ,,FALSE,Yule,
Cats in China,,FALSE,Yule,
Caucasian Wall,,FALSE,Yule,
Caugigu,,Location,Yule,
Caulking of Chinese ships,,FALSE,Yule,
Cauly,,FALSE,Yule,
Causeway,,Location,Yule,
Cauterising  heads of children,,FALSE,Yule,
Cave-houses,,FALSE,Yule,
Cavo de Eli,,FALSE,Yule,
Caya-fu,,Location,Murray,
Cayu,Kao-yu,FALSE,Yule,
Caï¿½ Polo,, ,Yule,
Celtic Church,,FALSE,Yule,
Census of houses in Kinsay,,FALSE,Yule,
Ceremonial of Mongol Court,,FALSE,Yule,
Ceylon,Seilan,Person,Yule,
Chachan,Charchand,FALSE,Yule,
Chagan-Nur,N.E. of Kamul,FALSE,Yule,
Chagatai,,Person,Yule,
Champa,Chamba,Location,Yule,
Chandra Banu,,FALSE,Yule,
Chandu,"Shangtu,Shandu",Location,Yule,
Chang-y,Chenchu,FALSE,Yule,
Changan,,FALSE,Yule,
Changchau,Chinginju,FALSE,Yule,
Changgan,,FALSE,Yule,
Changlu,,FALSE,Yule,
Changshan,Chanshan,FALSE,Yule,
Chaohien,,FALSE,Yule,
Chaotong,,FALSE,Yule,
Chapu,,FALSE,Yule,
Characters,,FALSE,Yule,
Charchan,Chachan of Johnson Charchand,FALSE,Yule,
Charities of the Kaan,,Person,Yule,
Charlemagne,,Person,Murray,
Chasteaux,,FALSE,Yule,
Chaukans or  temporary wives at Kashgar,,FALSE,Yule,
Chaul,,FALSE,Yule,
Chaym,Kao-yeou,Location,Murray,
Cheapness in China,,FALSE,Yule,
Cheetas,,FALSE,Yule,
Cheinan,,FALSE,Yule,
Chekiang into Fokien,,FALSE,Yule,
Chen-gui ,Yen-tcheou-fou,Location,Murray,
Chenching,Cochin-China,FALSE,Yule,
Chenchu ,,FALSE,Yule,
Cheu,,FALSE,Yule,
Chibai and Chiban,,FALSE,Yule,
Chilaw,,FALSE,Yule,
Chin,,Location,Yule,
Chin-tan,,FALSE,Yule,
China,,Location,Murray,Yule
Chinangli,Tï¿½sinan-fu, ,Yule,
Chinchau,,FALSE,Yule,
Chinese,,Person,Yule,
Chinese empire,,Organization,Murray,
Chinese navigation to India,,,Murray,
Ching-hoang tower at Hangchau-fu,,FALSE,Yule,
Chinghian-fu,Chinkiang-fu,FALSE,Yule,
Chinghiz Khan,Gengis Khan,Person,Yule,
Chinghiz Tora,,FALSE,Yule,
Chinghu,,FALSE,Yule,
Chinginju,Changchau,FALSE,Yule,
Chingintalas,,Location,Yule,
Chingsang,,FALSE,Yule,
Chingting-fu,Acbaluc,FALSE,Yule,
Chingtsu,Yunglo,Location,Yule,
Chinkin,,Person,Yule,
Chinuchi,,FALSE,Yule,
Chinï¿½r,, ,Yule,
Chipangu ,Japan,Location,Yule,
Chisi,Kishm,Location,Murray,
Chitral,,FALSE,Yule,
Chloroxylon,,FALSE,Yule,
Chochau,Juju,FALSE,Yule,
Choiach,,FALSE,Yule,
Chola,,FALSE,Yule,
Chonka ,,Location,Yule,
Chonkwï¿½ ,, ,Yule,
Chorcha,,Location,Yule,
Christian,,Organization,Yule,
Christianity,,FALSE,Yule,
Christians,,Organization,Yule,
Chrocho,The Rukh,Organization,Yule,
Chronology and chronological data discussed,,FALSE,Yule,
Chuchau-fu,,FALSE,Yule,
Chuchu,,FALSE,Yule,
Chungkwï¿½,, ,Yule,
Chungtu,,FALSE,Yule,
Churches,,Location,Yule,
Churchin,,FALSE,Yule,
Ciagatai ,Zagatai,Person,Murray,
Cian-cian,Kiu-tcheou,Location,Murray,
Cian-gli,Te-tcheou,Location,Murray,
Cian-glu,Tsan-tcheou,Location,Murray,
Cianba ,Tsiompa,Location,Murray,
Cianganor,,Location,Murray,
Ciarcian,Karashehr,Location,Murray,
Cielstan,,Location,Yule,
Cin-ghian-fu,Tchin-kiang-fou,Location,Murray,
Cin-ghian-gui,Tchang-tcheon-fou,Location,Murray,
Cin-gui,Sut-zi-hien,Location,Murray,
Cinnamon,,Person,Yule,
Circumcision ,,FALSE,Yule,
Cirophanes,,FALSE,Yule,
Civet of Sumatra,,FALSE,Yule,
Clemenfu ,Tai-yuen-fou,Location,Murray,
Clement IV,,Person,Yule,
Clement IV.,,Person,Murray,
Clepsydra,,FALSE,Yule,
Cloves,,FALSE,Yule,
Coal,,FALSE,Yule,
Cobi or Shamo,,Location,Murray,
Cobinam ,Khubees,Location,Murray,
Cobinan,Kohï¿½Banï¿½n, ,Yule,
Cocachin ,Kukï¿½chin, ,Yule,
Cochin-China,,FALSE,Yule,
Coco Islands,,FALSE,Yule,
Coco-nut,Indian nut,FALSE,Yule,
Cocos Islands,,FALSE,Yule,
Coeur de Lion,,Person,Yule,
Coffins,,FALSE,Yule,
Cogachin,Hukaji,Person,Yule,
Cogatai,,Person,Yule,
Coiganju,Hwaingan-fu,FALSE,Yule,
Coilac,,Location,Murray,
Coilon,,Location,Murray,
Coilum,Kaulam, Quilon),Location,Yule
Coilumin,,FALSE,Yule,
Coins ,,FALSE,Yule,
Coja,Koja,Person,Yule,
Cold,,Location,Yule,
Coleridge,,FALSE,Yule,
Coloman,,FALSE,Yule,
Colombino,,FALSE,Yule,
Colossal Buddhas,,FALSE,Yule,
Columbum,,FALSE,Yule,
Columbus,,FALSE,Yule,
Comania,,FALSE,Yule,
Comari,,Location,Murray,Yule
Combermere,,Location,Yule,
Comorin,,FALSE,Yule,
Comoro Islands,,Location,Yule,
Compartments,,Location,Yule,
Compass,,FALSE,Yule,
Competitive Examinations in beauty,,FALSE,Yule,
Conchi,,Person,Yule,
Conci,,Person,Murray,
Concubines,,FALSE,Yule,
Condi-fu,Tsi-nan-fou,Location,Murray,
Condor,,FALSE,Yule,
Condur and Sondur,,FALSE,Yule,
Condux,,FALSE,Yule,
Conia,,FALSE,Yule,
Conjeveram,,FALSE,Yule,
Conjurers,,Person,Yule,
Conosalmi,Kamasal,FALSE,Yule,
Constantinople,,FALSE,Yule,
Convents,,FALSE,Yule,
Cookery,,FALSE,Yule,
Cooper,,Person,Yule,
Copal,,FALSE,Yule,
Copper,,FALSE,Yule,
Coral,,FALSE,Yule,
Corea,Kauli,FALSE,Yule,
Cormos,Ormus,Location,Murray,
Corn,,FALSE,Yule,
Coromandel ,Maabar,FALSE,Yule,
Corsairs,,FALSE,Yule,
Corte del Milione,,FALSE,Yule,
Corvino,,Person,Murray,
Cosmography,,FALSE,Yule,
Costus,,FALSE,Yule,
Cotan,,FALSE,Yule,
Cotan,Khoten,Location,Murray,
Cotton,,FALSE,Yule,
Counts in Vokhan,,FALSE,Yule,
Couriers of the great khan,,,Murray,
Courts of Justice,,FALSE,Yule,
Cowdung,,FALSE,Yule,
Cowell,,FALSE,Yule,
Cowries,,FALSE,Yule,
Cralantur,,FALSE,Yule,
Cramoisy,quermesis,FALSE,Yule,
Cranes,,FALSE,Yule,
Crawford,,FALSE,Yule,
Creman,Carmania,Location,Murray,
Cremation,,FALSE,Yule,
Cremesor,,FALSE,Yule,
Crocodiles,,FALSE,Yule,
Cross,,FALSE,Yule,
Crossbows,,FALSE,Yule,
Cruelties,,FALSE,Yule,
Crusca MS. of Polo,,FALSE,Yule,
Crusca MS. of the Travels,,Person,Murray,
Cubeb pepper,,FALSE,Yule,
Cubits,,FALSE,Yule,
Cublay,,Person,Yule,
Cucintana,,FALSE,Yule,
Cudgel,,FALSE,Yule,
Cuiju,Kweichau,Location,Yule,
Cuinet,,Location,Yule,
Cuirbouly,,FALSE,Yule,
Cuju,,FALSE,Yule,
Cun-chin,,Location,Murray,
Cuncun ,Han-Chung,Location,Yule,
Cunningham,,Person,Yule,
Cups,,FALSE,Yule,
Curds and Curdistan,,FALSE,Yule,
Curmosa,Hormuz,Location,Yule,
Currency,,Person,Yule,
Current,,FALSE,Yule,
Currents,,FALSE,Yule,
Curtains,,FALSE,Yule,
Curzola ,,Location,Yule,
Curzon,,FALSE,Yule,
Customs,,FALSE,Yule,
Cutch pirates,,FALSE,Yule,
Cuxstac,,FALSE,Yule,
Cuy Khan ,,FALSE,Yule,
Cuyne,Kuynuk,Person,Murray,
Cuyné,Kuynuk, ,Murray,
Cycle,,FALSE,Yule,
Cyn-gui,,Location,Murray,
Cypresses,,FALSE,Yule,
Cyprus,,FALSE,Yule,
Cyrus,,Person,Yule,
D'Alboquerque,,FALSE,Yule,
D'Anghieria,,FALSE,Yule,
D'Ely,,FALSE,Yule,
Da Gama,,FALSE,Yule,
Dabul,,FALSE,Yule,
Dagroian,,Location,Yule,
Dailiu ,Tali,FALSE,Yule,
Dakiï¿½nus,, ,Yule,
Dalada,,FALSE,Yule,
Dalai Lama,,FALSE,Yule,
Dalivar,"Dilivar,Diláwar,Lahore",Location,Yule,
Dalmian,,FALSE,Yule,
Damas,,FALSE,Yule,
Damascus,,Location,Yule,
